央卫频道C,#genre#
陕西卫视,http://39.134.134.84/000000001000/1000000002000007495/index.m3u8?stbId=000000001000&Contentid=1000000002000007495&livemode=1&channel-id=ystenlive&id=01
山西卫视,http://39.134.134.84/000000001000/1000000002000021220/index.m3u8?stbId=000000001000&Contentid=1000000002000021220&livemode=1&channel-id=ystenlive&id=01
山东卫视,http://39.134.134.84/000000001000/1000000001000012807/index.m3u8?stbId=000000001000&Contentid=1000000001000012807&livemode=1&channel-id=ystenlive&id=01
江苏卫视,http://39.134.134.84/000000001000/1000000001000004684/index.m3u8?stbId=000000001000&Contentid=1000000001000004684&livemode=1&channel-id=ystenlive&id=01
浙江卫视,http://39.134.134.84/000000001000/1000000001000009806/index.m3u8?stbId=000000001000&Contentid=1000000001000009806&livemode=1&channel-id=ystenlive&id=01
安徽卫视,http://39.134.134.84/000000001000/1000000001000020780/index.m3u8?stbId=000000001000&Contentid=1000000001000020780&livemode=1&channel-id=ystenlive&id=01
湖北卫视,http://39.134.134.84/000000001000/1000000001000010355/index.m3u8?stbId=000000001000&Contentid=1000000001000010355&livemode=1&channel-id=ystenlive&id=01
湖南卫视,http://39.134.134.84/000000001000/1000000001000009115/index.m3u8?stbId=000000001000&Contentid=1000000001000009115&livemode=1&channel-id=ystenlive&id=01
福建卫视,http://39.134.134.84/000000001000/1000000002000009263/index.m3u8?stbId=000000001000&Contentid=1000000002000009263&livemode=1&channel-id=ystenlive&id=01
广西卫视,http://39.134.134.84/000000001000/1000000002000019837/index.m3u8?stbId=000000001000&Contentid=1000000002000019837&livemode=1&channel-id=ystenlive&id=01
海南卫视,http://39.134.134.84/000000001000/1000000002000023773/index.m3u8?stbId=000000001000&Contentid=1000000002000023773&livemode=1&channel-id=ystenlive&id=01
贵州卫视,http://39.134.134.84/000000001000/1000000002000003169/index.m3u8?stbId=000000001000&Contentid=1000000002000003169&livemode=1&channel-id=ystenlive&id=01
云南卫视,http://39.134.134.84/000000001000/1000000002000024694/index.m3u8?stbId=000000001000&Contentid=1000000002000024694&livemode=1&channel-id=ystenlive&id=01
四川卫视,http://39.134.134.84/000000001000/1000000002000016825/index.m3u8?stbId=000000001000&Contentid=1000000002000016825&livemode=1&channel-id=ystenlive&id=01
青海卫视,http://39.134.134.84/000000001000/1000000002000013359/index.m3u8?stbId=000000001000&Contentid=1000000002000013359&livemode=1&channel-id=ystenlive&id=01
甘肃卫视,http://39.134.134.84/000000001000/1000000002000017827/index.m3u8?stbId=000000001000&Contentid=1000000002000017827&livemode=1&channel-id=ystenlive&id=01
宁夏卫视,http://39.134.134.84/000000001000/1000000002000031451/index.m3u8?stbId=000000001000&Contentid=1000000002000031451&livemode=1&channel-id=ystenlive&id=01
西藏卫视,http://39.134.134.84/000000001000/6603041244077933770/index.m3u8?stbId=000000001000&Contentid=6603041244077933770&livemode=1&channel-id=ystenlive&id=01
新疆卫视,http://39.134.134.84/000000001000/1000000002000029441/index.m3u8?stbId=000000001000&Contentid=1000000002000029441&livemode=1&channel-id=ystenlive&id=01
内蒙古卫视,http://39.134.134.84/000000001000/1000000002000014080/index.m3u8?stbId=000000001000&Contentid=1000000002000014080&livemode=1&channel-id=ystenlive&id=01
深圳卫视,http://39.134.134.84/000000001000/1000000001000011645/index.m3u8?stbId=000000001000&Contentid=1000000001000011645&livemode=1&channel-id=ystenlive&id=01
埋堆堆,#genre#
埋堆堆01,http://121.12.115.162/txdirect.hls.huya.com/src/1199561226091-1199561226091-5434639045542019072-2399122575638-10057-A-0-1.m3u8
埋堆堆02,http://121.12.115.162/txdirect.hls.huya.com/src/1199561276763-1199561276763-5434856680124841984-2399122676982-10057-A-0-1.m3u8
埋堆堆03,http://121.12.115.162/txdirect.hls.huya.com/src/1199561219773-1199561219773-5434611909938642944-2399122563002-10057-A-0-1.m3u8
埋堆堆04,http://121.12.115.162/txdirect.hls.huya.com/src/1199563459241-1199563459241-5444230351759081472-2399127041938-10057-A-0-1.m3u8
埋堆堆05,http://121.12.115.162/txdirect.hls.huya.com/src/1199563478941-1199563478941-5444314962614812672-2399127081338-10057-A-0-1.m3u8
埋堆堆06,http://121.12.115.162/txdirect.hls.huya.com/src/1199561223711-1199561223711-5434628823519854592-2399122570878-10057-A-0-1.m3u8
埋堆堆07,http://121.12.115.162/txdirect.hls.huya.com/src/1199564000752-1199564000752-5446556123794505728-2399128124960-10057-A-0-1.m3u8
埋堆堆08,http://121.12.115.162/txdirect.hls.huya.com/src/1199563995848-1199563995848-5446535061274886144-2399128115152-10057-A-0-1.m3u8
埋堆堆09,http://121.12.115.162/txdirect.hls.huya.com/src/1199563493628-1199563493628-5444378042799489024-2399127110712-10057-A-0-1.m3u8
埋堆堆10,http://121.12.115.162/txdirect.hls.huya.com/src/1199563478721-1199563478721-5444314017722007552-2399127080898-10057-A-0-1.m3u8
埋堆堆11,http://121.12.115.162/txdirect.hls.huya.com/src/1199561463578-1199561463578-5435659044440244224-2399123050612-10057-A-0-1.m3u8
埋堆堆12,http://121.12.115.162/txdirect.hls.huya.com/src/1199561245453-1199561245453-5434722204698804224-2399122614362-10057-A-0-1.m3u8
埋堆堆13,http://121.12.115.162/txdirect.hls.huya.com/src/1199564003640-1199564003640-5446568527660056576-2399128130736-10057-A-0-1.m3u8
埋堆堆14,http://121.12.115.162/txdirect.hls.huya.com/src/1199561153241-1199561153241-5434326157174505472-2399122429938-10057-A-0-1.m3u8
埋堆堆17,http://121.12.115.162/txdirect.hls.huya.com/src/1199561179116-1199561179116-5434437289453289472-2399122481688-10057-A-0-1.m3u8
埋堆堆18,http://121.12.115.162/txdirect.hls.huya.com/src/1199561185543-1199561185543-5434464893208100864-2399122494542-10057-A-0-1.m3u8
埋堆堆19,http://121.12.115.162/txdirect.hls.huya.com/src/1199563478867-1199563478867-5444314644787232768-2399127081190-10057-A-0-1.m3u8
埋堆堆20,http://121.12.115.162/txdirect.hls.huya.com/src/1199564060588-1199564060588-5446813117457629184-2399128244632-10057-A-0-1.m3u8
埋堆堆21,http://121.12.115.162/txdirect.hls.huya.com/src/1199563481280-1199563481280-5444325008543318016-2399127086016-10057-A-0-1.m3u8
埋堆堆22,http://121.12.115.162/txdirect.hls.huya.com/src/1199561185548-1199561185548-5434464914682937344-2399122494552-10057-A-0-1.m3u8
埋堆堆23,http://121.12.115.162/txdirect.hls.huya.com/src/1199563492830-1199563492830-5444374615415586816-2399127109116-10057-A-0-1.m3u8
埋堆堆24,http://121.12.115.162/txdirect.hls.huya.com/src/1199563484986-1199563484986-5444340925692116992-2399127093428-10057-A-0-1.m3u8
埋堆堆25,http://121.12.115.162/txdirect.hls.huya.com/src/1199561217760-1199561217760-5434603264169476096-2399122558976-10057-A-0-1.m3u8
埋堆堆26,http://121.12.115.162/txdirect.hls.huya.com/src/1199563486009-1199563486009-5444345319443660800-2399127095474-10057-A-0-1.m3u8
埋堆堆27,http://121.12.115.162/txdirect.hls.huya.com/src/1199563491091-1199563491091-5444367146467459072-2399127105638-10057-A-0-1.m3u8
埋堆堆28,http://121.12.115.162/txdirect.hls.huya.com/src/1199563478540-1199563478540-5444313240332926976-2399127080536-10057-A-0-1.m3u8
埋堆堆29,http://121.12.115.162/txdirect.hls.huya.com/src/1199561235975-1199561235975-5434681496998772736-2399122595406-10057-A-0-1.m3u8
埋堆堆30,http://121.12.115.162/txdirect.hls.huya.com/src/1199561240999-1199561240999-5434703074914467840-2399122605454-10057-A-0-1.m3u8
埋堆堆31,http://121.12.115.162/txdirect.hls.huya.com/src/1199563461114-1199563461114-5444238396232826880-2399127045684-10057-A-0-1.m3u8
埋堆堆32,http://121.12.115.162/txdirect.hls.huya.com/src/1199563489752-1199563489752-5444361395506249728-2399127102960-10057-A-0-1.m3u8
埋堆堆33,http://121.12.115.162/txdirect.hls.huya.com/src/1199561181108-1199561181108-5434445845028143104-2399122485672-10057-A-0-1.m3u8
埋堆堆34,http://121.12.115.162/txdirect.hls.huya.com/src/1199561277675-1199561277675-5434860597135015936-2399122678806-10057-A-0-1.m3u8
埋堆堆35,http://121.12.115.162/txdirect.hls.huya.com/src/1199561176240-1199561176240-5434424937127346176-2399122475936-10057-A-0-1.m3u8
埋堆堆37,http://121.12.115.162/txdirect.hls.huya.com/src/1199561277694-1199561277694-5434860678739394560-2399122678844-10057-A-0-1.m3u8
埋堆堆38,http://121.12.115.162/txdirect.hls.huya.com/src/1199561179151-1199561179151-5434437439777144832-2399122481758-10057-A-0-1.m3u8
埋堆堆39,http://121.12.115.162/txdirect.hls.huya.com/src/1199563483195-1199563483195-5444333233405689856-2399127089846-10057-A-0-1.m3u8
埋堆堆40,http://121.12.115.162/txdirect.hls.huya.com/src/1199563452505-1199563452505-5444201420859375616-2399127028466-10057-A-0-1.m3u8
埋堆堆41,http://121.12.115.162/txdirect.hls.huya.com/src/1199563479483-1199563479483-5444317290487087104-2399127082422-10057-A-0-1.m3u8
埋堆堆42,http://121.12.115.162/txdirect.hls.huya.com/src/1199561278783-1199561278783-5434865355958779904-2399122681022-10057-A-0-1.m3u8
埋堆堆43,http://121.12.115.162/txdirect.hls.huya.com/src/1199561277724-1199561277724-5434860807588413440-2399122678904-10057-A-0-1.m3u8
埋堆堆44,http://121.12.115.162/txdirect.hls.huya.com/src/1199563491137-1199563491137-5444367344035954688-2399127105730-10057-A-0-1.m3u8
埋堆堆45,http://121.12.115.162/txdirect.hls.huya.com/src/1199561277686-1199561277686-5434860644379656192-2399122678828-10057-A-0-1.m3u8
埋堆堆46,http://121.12.115.162/txdirect.hls.huya.com/src/1199561223732-1199561223732-5434628913714167808-2399122570920-10057-A-0-1.m3u8
埋堆堆47,http://121.12.115.162/txdirect.hls.huya.com/src/1199561391895-1199561391895-5435351168299565056-2399122907246-10057-A-0-1.m3u8
埋堆堆48,http://121.12.115.162/txdirect.hls.huya.com/src/1199563489431-1199563489431-5444360016821747712-2399127102318-10057-A-0-1.m3u8
埋堆堆49,http://121.12.115.162/txdirect.hls.huya.com/src/1199561277677-1199561277677-5434860605724950528-2399122678810-10057-A-0-1.m3u8
埋堆堆50,http://121.12.115.162/txdirect.hls.huya.com/src/1199561240090-1199561240090-5434699170789195776-2399122603636-10057-A-0-1.m3u8
埋堆堆51,http://121.12.115.162/txdirect.hls.huya.com/src/1199561178473-1199561178473-5434434527789318144-2399122480402-10057-A-0-1.m3u8
埋堆堆53,http://121.12.115.162/txdirect.hls.huya.com/src/1199564067003-1199564067003-5446840669672833024-2399128257462-10057-A-0-1.m3u8
埋堆堆54,http://121.12.115.162/txdirect.hls.huya.com/src/1199563551865-1199563551865-5444628168809906176-2399127227186-10057-A-0-1.m3u8
埋堆堆56,http://121.12.115.162/txdirect.hls.huya.com/src/1199561152145-1199561152145-5434321449890349056-2399122427746-10057-A-0-1.m3u8
埋堆堆57,http://121.12.115.162/txdirect.hls.huya.com/src/1199563452337-1199563452337-5444200699304869888-2399127028130-10057-A-0-1.m3u8
埋堆堆58,http://121.12.115.162/txdirect.hls.huya.com/src/1199561176260-1199561176260-5434425023026692096-2399122475976-10057-A-0-1.m3u8
埋堆堆59,http://121.12.115.162/txdirect.hls.huya.com/src/1199561462555-1199561462555-5435654650688700416-2399123048566-10057-A-0-1.m3u8
埋堆堆60,http://121.12.115.162/txdirect.hls.huya.com/src/1199563479466-1199563479466-5444317217472643072-2399127082388-10057-A-0-1.m3u8
埋堆堆61,http://121.12.115.162/txdirect.hls.huya.com/src/1199561153167-1199561153167-5434325839346925568-2399122429790-10057-A-0-1.m3u8
埋堆堆63,http://121.12.115.162/txdirect.hls.huya.com/src/1199561182641-1199561182641-5434452429213007872-2399122488738-10057-A-0-1.m3u8
埋堆堆64,http://121.12.115.162/txdirect.hls.huya.com/src/1199561177177-1199561177177-5434428961511702528-2399122477810-10057-A-0-1.m3u8
埋堆堆65,http://121.12.115.162/txdirect.hls.huya.com/src/1199563564801-1199563564801-5444683728506847232-2399127253058-10057-A-0-1.m3u8
埋堆堆66,http://121.12.115.162/txdirect.hls.huya.com/src/1199563488528-1199563488528-5444356138466279424-2399127100512-10057-A-0-1.m3u8
埋堆堆67,http://121.12.115.162/txdirect.hls.huya.com/src/1199561181026-1199561181026-5434445492840824832-2399122485508-10057-A-0-1.m3u8
埋堆堆68,http://121.12.115.162/txdirect.hls.huya.com/src/1199561158071-1199561158071-5434346901866545152-2399122439598-10057-A-0-1.m3u8
央卫频道A,#genre#
CCTV-1HD,http://scgctvshow.sctv.com/hdlive/cctv1/1.m3u8
CCTV-1HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8
CCTV-1HD,http://183.207.255.190/live/program/live/cctv1hd/2300000/mnf.m3u8
CCTV-1HD,http://39.134.65.208/PLTV/88888888/224/3221225717/index.m3u8
CCTV-1HD,http://39.134.65.208/PLTV/88888888/224/3221225732/index.m3u8
CCTV-1HD,http://39.134.66.66/PLTV/88888888/224/3221225732/index.m3u8
CCTV-1HD,http://223.82.250.72/live/hdcctv01/1.m3u8
CCTV-1HD,http://scgctvshow.sctv.com/hdlive/cctv1/1.m3u8
CCTV-1HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8
CCTV-1HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225766/index.m3u8
CCTV-1HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225769/index.m3u8
CCTV-1HD,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227575/index.m3u8
CCTV-2HD,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-2HD,http://125.210.152.18:9090/live/CCTV2HD_H265.m3u8
CCTV-3HD,http://183.207.255.190/live/program/live/cctv3hd/2300000/mnf.m3u8
CCTV-3HD,http://39.134.66.66/PLTV/88888888/224/3221225688/index.m3u8
CCTV-3HD,http://39.134.65.208/PLTV/88888888/224/3221225688/index.m3u8
CCTV-3HD,http://39.134.65.208/PLTV/88888888/224/3221225784/index.m3u8
CCTV-3HD,http://39.134.66.66/PLTV/88888888/224/3221225784/index.m3u8
CCTV-4HD,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-5HD,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV-5HD,http://39.134.168.91/PLTV/1/224/3221225556/index.m3u8
CCTV-5HD,http://39.134.168.91/PLTV/1/224/3221225556/index.m3u8
CCTV-5HD,http://183.207.255.190/live/program/live/cctv5hd/2300000/mnf.m3u8
CCTV-5HD,http://39.134.66.66/PLTV/88888888/224/3221225491/index.m3u8
CCTV-5HD,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV-5HD,http://39.134.65.208/PLTV/88888888/224/3221225491/index.m3u8
CCTV-5HD,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV-5HD,http://111.20.109.68:6610/bestv/2/ch00000090990000001140/2300001/index.m3u8?&virtualDomain=bestv.live_hls.zte.com
CCTV-5HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/1.m3u8
CCTV-5+HD,http://223.82.250.72/live/hdcctv05plus/1.m3u8
CCTV-5+HD,http://183.207.255.190/live/program/live/cctv5phd/2300000/mnf.m3u8
CCTV-6HD,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv6hd/2300000/mnf.m3u8
CCTV-6HD,http://183.207.255.190/live/program/live/cctv6hd/2300000/mnf.m3u8
CCTV-6HD,http://39.134.65.208/PLTV/88888888/224/3221225786/index.m3u8
CCTV-6HD,http://39.134.65.208/PLTV/88888888/224/3221225687/index.m3u8
CCTV-6HD,http://39.134.66.66/PLTV/88888888/224/3221225786/index.m3u8
CCTV-6HD,http://39.134.66.66/PLTV/88888888/224/3221225687/index.m3u8
CCTV-7HD,http://39.134.176.157/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8HD,http://39.134.168.91/PLTV/1/224/3221225562/index.m3u8
CCTV-8HD,http://183.207.255.190/live/program/live/cctv8hd/2300000/mnf.m3u8
CCTV-8HD,http://39.134.176.148/PLTV/88888888/224/3221226330/index.m3u8
CCTV-8HD,http://39.134.66.66/PLTV/88888888/224/3221225788/index.m3u8
CCTV-8HD,http://39.134.168.91/PLTV/1/224/3221225562/index.m3u8
CCTV-8HD,http://39.134.65.208/PLTV/88888888/224/3221225788/index.m3u8
CCTV-9HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225595/index.m3u8
CCTV-9HD,http://39.134.66.66/PLTV/88888888/224/3221225519/index.m3u8
CCTV-9HD,http://39.134.65.208/PLTV/88888888/224/3221225519/index.m3u8
CCTV-9HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225595/index.m3u8
CCTV-9HD,http://39.134.65.66:80/wh7f454c46tw1783826508_940850315/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225595/index.m3u8
CCTV-9HD,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8
CCTV-10HD,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv10hd/2300000/mnf.m3u8
CCTV-10HD,http://39.134.176.157/PLTV/88888888/224/3221226199/index.m3u8
CCTV-10HD,http://183.207.255.190/live/program/live/cctv10hd/2300000/mnf.m3u8
CCTV-11HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-11HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-11HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12HD,http://125.210.152.18:9090/live/CCTV12HD_H265.m3u8
CCTV-14HD,http://39.134.66.66/PLTV/88888888/224/3221225557/index.m3u8
CCTV-14HD,http://39.134.65.208/PLTV/88888888/224/3221225557/index.m3u8
CCTV-15HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CPTV HD,http://jsylivealone302.iqilu.com/live/chiping_tv01/index.m3u8
CPTV HD,http://jsylivealone302.iqilu.com/live/chiping_tv01/index.m3u8
CPTV2 HD,http://jsylivealone302.iqilu.com/live/chiping_tv02/index.m3u8
CPTV2 HD,http://jsylivealone302.iqilu.com/live/chiping_tv02/index.m3u8
北京卫视HD,http://39.134.65.208/PLTV/88888888/224/3221225689/index.m3u8
北京卫视HD,http://39.134.168.91/PLTV/1/224/3221225526/index.m3u8
北京卫视HD,http://39.134.65.208/PLTV/88888888/224/3221225574/index.m3u8
北京卫视HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225701/index.m3u8
北京卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225574/index.m3u8
北京卫视HD,http://223.82.250.72/live/hdbeijingstv/1.m3u8
北京卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225689/index.m3u8
北京卫视HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225651/index.m3u8
北京卫视HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225701/index.m3u8
北京卫视HD,rtmp://58.200.131.2:1935/livetv/btv1
东方卫视HD,http://39.134.168.91/PLTV/1/224/3221225506/index.m3u8
东方卫视HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225700/index.m3u8
东方卫视HD,http://39.134.65.208/PLTV/88888888/224/3221225598/index.m3u8
东方卫视HD,http://39.134.66.66/PLTV/88888888/224/3221225598/index.m3u8
东方卫视HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225647/index.m3u8
东方卫视HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225700/index.m3u8
东方卫视HD,http://39.134.65.66:80/wh7f454c46tw1757988775_378791388/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225700/index.m3u8?
东方卫视HD,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
东方卫视HD,http://223.82.250.72/live/hddongfangstv/1.m3u8
东方财经HD,http://live.setv.sh.cn/slive/shedu02_1200k.m3u8
东方影视HD,http://39.134.168.76/PLTV/1/224/3221225612/index.m3u8
东方影视HD,http://39.134.168.91/PLTV/1/224/3221225612/index.m3u8
东方影视HD,http://39.134.168.97/PLTV/1/224/3221225612/index.m3u8
上海都市HD,http://39.134.168.76/PLTV/1/224/3221225610/index.m3u8
上海都市HD,http://39.134.168.91/PLTV/1/224/3221225610/index.m3u8
上海纪实HD,http://39.134.168.91/PLTV/1/224/3221225488/index.m3u8
上海教育HD,http://live.setv.sh.cn/slive/shedu02_1200k.m3u8
上海外语HD,http://39.134.168.91/PLTV/1/224/3221225486/index.m3u8
上海外语HD,http://39.134.168.76/PLTV/1/224/3221225486/index.m3u8
天津卫视HD,http://39.134.168.91/PLTV/1/224/3221225594/index.m3u8
浙江卫视HD,http://39.134.168.91/PLTV/1/224/3221225522/index.m3u8
浙江卫视HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225643/index.m3u8
浙江休闲HD,http://hw-m-l.cztv.com/channels/lantian/channel06/720p.m3u8
江苏卫视HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225644/index.m3u8
江苏卫视HD,http://223.82.250.72/live/hdjiangsustv/1.m3u8
江苏卫视HD,http://39.134.168.91/PLTV/1/224/3221225514/index.m3u8
江苏晋江HD,http://visit.jjbctv.com:1935/live/xwzhpc/playlist.m3u8
安徽卫视HD,http://39.134.168.91/PLTV/1/224/3221225548/index.m3u8
东南卫视HD,http://39.134.168.91/PLTV/1/224/3221225580/index.m3u8
广东卫视HD,http://39.134.168.91/PLTV/1/224/3221225530/index.m3u8
广东卫视HD,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/hdguangdongstv/1.m3u8 
黑龙江卫视HD,http://223.82.250.72/live/hdheilongjiangstv/1.m3u8
黑龙江卫视HD,http://39.134.168.91/PLTV/1/224/3221225538/index.m3u8
黑龙江卫视HD,http://125.210.152.18:9090/live/HLJWSHD_H265.m3u8
黑龙江卫视HD,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/hdheilongjiangstv/1.m3u8
黑龙江卫视HD,http://223.82.250.72/live/hdheilongjiangstv/1.m3u8
黑龙江卫视HD,http://125.210.152.18:9090/live/HLJWSHD_H265.m3u8
河北卫视HD,http://125.210.152.18:9090/live/HBWSHD_H265.m3u8
吉林卫视HD,http://125.210.152.18:9090/live/JLWSHD_H265.m3u8
吉林卫视HD,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=25&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
山东卫视HD,http://125.210.152.18:9090/live/SDWSHD_H265.m3u8
山东卫视HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225650/index.m3u8
湖北卫视HD,http://39.134.168.91/PLTV/1/224/3221225546/index.m3u8
